BindingDB Reactant_set_id,Ligand SMILES,IC50 (nM)
286572,Nc1ncccc1-c1nc2ccc(Nc3ccccc3)nc2n1-c1ccc(cc1)C1(N)CCC1,3.77
44981,CSc1ncc2cc(-c3ccccc3)c(nc2n1)-c1ccc(CN2CCC(CC2)c2nnc([nH]2)-c2ccccn2)cc1,3.8
903472,C[C@H](NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]ccc12)c1ccc(Cl)cc1,3.8
51296569,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CC(O)CO)C[C@H]1c1ccc(Cl)c(Cl)c1,3.8
51021177,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4CNC(=O)c4c4c5ccccc5n2c4c13,3.8
50552461,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)NCc1ccc(Cl)cc1Cl,3.8
337104,O=C(Nc1csc(n1)-c1nncn1C1CC1)c1cc(c(cn1)N1CCCOCC1)-n1cnc(c1)C1CC1,3.8
1135416,NC1(CCN(CC1)c1ncnc2[nH]ccc12)C(=O)N[C@@H](CCN1CCCC1)c1ccc(Cl)cc1,3.9
603144,NC(=O)c1cc(C(N)=O)c2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,3.9
603095,COc1cc(OC)c2nc(c(-c3ccccc3)n2n1)-c1ccc(cc1)C1(N)CCC1,3.9
256470,NC1(CC(O)(C1)C1CC1)c1ccc(cc1)-c1nc2-c3ccccc3OCn2c1-c1ccccc1,3.9
50530288,Cc1n[nH]c2cnc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(F)ccc2C)c1,3.9
50530262,N[C@H](COc1cncc(c1)-c1ccc2[nH]nc(-c3ccccc3)c2c1)Cc1c[nH]c2ccccc12,3.9
256499,NC1(CCC1)c1ccc(cc1)-c1nc2-c3cccnc3OCn2c1-c1ccccc1,3.9
29930,Cc1n[nH]c2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2cc(F)ccc2C)c1,3.9
50612066,CC1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc3ccc(Cl)cc3)c12,4.0
50612072,C[C@@H]1SCc2ncnc(N3CCN(CC3)C(=O)[C@H](N)Cc3ccc(F)c(F)c3)c12,4.0
50924817,C[C@@H]1CC(=O)Nc2ncnc(N3CCC(CC3)c3nc(cn3CCN3CCCC3)C3CCOCC3)c12,4.0
903508,C[C@H](NC(=O)C1(N)CCN(CC1)c1ncnc2[nH]cc(Br)c12)c1ccc(Cl)cc1,4.0
51276514,COc1ccc(O)c(C(=O)c2ccc(cc2)C(=O)N[C@@H]2CCCNC[C@H]2NC(=O)c2ccncc2)c1F,4.0
51421696,CNC[C@@H](Nc1ncnc2c(cccc12)C(N)=O)c1cccc(F)c1,4.0
51421703,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(F)c(F)c3)ncnc12,4.0
51296527,Cn1ncc(Cl)c1-c1cc(oc1Cl)C(=O)N[C@@H]1CN[C@H](CC(=O)NC2CC2)C[C@H]1c1ccc(Cl)c(Cl)c1,4.0
51421706,NC(=O)c1cccc2c(N[C@H](CN3CCC3)c3ccc(Cl)c(c3)C(F)(F)F)ncnc12,4.0
51420686,Cl.Cn1nccc1-c1ccc(C(=O)N[C@@H]2CNCC[C@H]2c2ccc(F)c(F)c2)c(F)c1,4.0
30614,CC1C(=O)Nc2ccc(cc12)-c1cncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)c1,4.0
44988,CSc1ncc2cc(-c3ccccc3)c(nc2n1)-c1ccc(CN2CCC(CC2)n2ncc3c(N)ncnc23)cc1,4.0
282728,C(N1CCC(CC1)c1cnc2ccccc2n1)c1ccc(cc1)-c1nc2nccn2cc1-c1ccccc1,4.0
282743,Cc1nc2nc(-c3ccc(CN4CC(C4)c4n[nH]c(n4)-c4ccccn4)cc3)c(cn2c1Br)-c1ccccc1,4.0
290696,COC(=O)c1cccc(c1)-c1cnc2cc(-c3ccccc3)c(nn12)-c1ccc(cc1)C1(N)CCC1,4.0
329826,CCO\C=C\c1c(N)ncnc1N1CCC(CC1)c1nc(cn1CCN(C)C)-c1ccc(F)c(c1)C(F)(F)F,4.0
292920,Fc1cc2CCN(C(=O)Cc3nc(cc(=O)[nH]3)N3CCOCC3)c2cc1F,4.0
326941,CC1Cc2c(ccc(F)c2F)N1C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,4.0
326951,CC1Cc2c(cccc2F)N1C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,4.0
326963,CC(C)C1Cc2ccccc2N1C(=O)Cc1nc(cc(=O)[nH]1)N1CCOCC1,4.0
327014,C[C@H]1Cc2ccccc2N1C(=S)Cc1nc(cc(=S)[nH]1)N1CCOCC1,4.0
50220478,CC(C)NC[C@@H](C(=O)N1CCN(CC1)c1ncnc2[C@H](F)C[C@@H](C)c12)c1ccc(Cl)cc1,4.0
50417642,CN(C)CCN1CCN(CC1)c1ncc2cc(-c3ccccc3)c(nc2n1)-c1ccc(CN2CCC(CC2)c2nnc([nH]2)-c2ccccn2)cc1,4.0
50418204,O=c1[nH]ccc2nc(-c3ccc(CN4CCC(CC4)c4nnc([nH]4)-c4cnccn4)cc3)c(cc12)-c1ccccc1,4.0
50418205,Nc1ccc(cn1)-c1nnc([nH]1)C1CCN(Cc2ccc(cc2)-c2nc3cc[nH]c(=O)c3cc2-c2ccccc2)CC1,4.0
50445398,C(N1CCC(CC1)c1nnc([nH]1)-c1ccccn1)c1ccc(cc1)-c1nc2ccn3cnnc3c2cc1-c1ccccc1,4.0
50453763,CCNCC(Cc1ccccc1)NC(=O)c1cc(Br)c(s1)-c1ccnc2[nH]ccc12,4.0
50571891,CCn1c(nc2c(nc(O[C@H](CCN)c3ccccc3)cc12)C#CC(C)(C)O)-c1nonc1N,4.0
50630659,Cc1cccc(C)c1S(=O)(=O)NC[C@@H](O)CN1CCC[C@@]2(CCN(C2)c2ncnc(N)c2C2CC2)C1,4.0
50571912,CCn1c(nc2c(nc(CCN)cc12)C#CC(C)(C)O)-c1nonc1N,4.0
50585613,Clc1c[nH]c2ncnc(N3CCC4(C3)CCNCC4)c12,4.0
51504427,C[C@@H]1CC(=O)Nc2ncnc(N3CCN([C@@H]4C[C@H]34)C(=O)[C@H](CNC3C4COCC34)c3ccc(Cl)cc3)c12,4.1
329970,CCc1c(N)ncnc1N1CCC(CC1)c1nc(cn1CCN1CCC1)-c1ccc(F)c(c1)C(F)(F)F,4.1
330054,Nc1ncnc(N2CCC(CC2)c2nc(cn2CCN2CCC2)-c2ccc(OC(F)F)c(F)c2)c1C#N,4.1
875739,C=CC(=O)Nc1ccccc1C(=O)NC1CCN(Cc2ccc(cc2)-c2nc3cc[nH]c(=O)c3cc2-c2ccccc2)CC1,4.1
603198,CCOc1cc(nn2c(c(nc12)-c1ccc(cc1)C1(N)CCC1)-c1ccccc1)C(N)=O,4.1
329842,CCOc1c(N)ncnc1N1CCC(CC1)c1nc(cn1CCN1CCC1)-c1ccc(F)c(c1)C(F)(F)F,4.1
